"Date","[10,000,000 - infinity) coins","[1,000,000 - 10,000,000) coins","[100,000  - 1,000,000) coins","[10,000 - 100,000) coins","[1,000 - 10,000) coins","[100 - 1,000) coins","[10 - 100) coins","[1 - 10) coins","[0.1 - 1) coins","[0.01 - 0.1) coins","[0.001 - 0.01) coins","[0 - 0.001) coins"
"2018-09-13T00:00:00.000Z","9","29.571428571428573","352.14285714285717","2526.8571428571427","7102.714285714285","8288.857142857143","2075","566.7142857142857","504.42857142857144","169.85714285714286","124.71428571428571","907.4285714285714"
"2018-09-20T00:00:00.000Z","9","30.714285714285715","352.7142857142857","2505.4285714285716","7097.142857142857","8330.42857142857","2099.8571428571427","574","512.8571428571429","170.28571428571428","126","918.4285714285714"
"2018-09-27T00:00:00.000Z","9","30.714285714285715","359","2520.714285714286","7119.142857142857","8353.42857142857","2114.8571428571427","579","518","171.14285714285714","126.14285714285714","930.2857142857143"
"2018-10-04T00:00:00.000Z","9","30.857142857142858","368.14285714285717","2529.1428571428573","7148","8376.857142857143","2124.1428571428573","588.7142857142857","519.1428571428571","173","127","938.2857142857143"
"2018-10-11T00:00:00.000Z","9","30.142857142857142","372","2541.285714285714","7166.714285714285","8409.714285714286","2139.4285714285716","593.1428571428571","519.2857142857143","174.42857142857142","126.85714285714286","944.7142857142857"
"2018-10-18T00:00:00.000Z","9","30.285714285714285","372.14285714285717","2557.5714285714284","7161","8466","2157.1428571428573","597.2857142857143","521.4285714285714","174.28571428571428","128.57142857142858","950.8571428571429"
"2018-10-25T00:00:00.000Z","9","30.714285714285715","370.85714285714283","2574.285714285714","7167.571428571428","8512.42857142857","2182.8571428571427","605.8571428571429","526.2857142857143","174","131.14285714285714","958.8571428571429"
"2018-11-01T00:00:00.000Z","8.714285714285714","33","369.14285714285717","2579.714285714286","7182.428571428572","8618.57142857143","2237.5714285714284","631.2857142857143","538.8571428571429","173.42857142857142","132.71428571428572","961.5714285714286"
"2018-11-08T00:00:00.000Z","9","34.57142857142857","370.14285714285717","2594.5714285714284","7225.285714285715","8694.714285714286","2277.285714285714","643.8571428571429","544.4285714285714","174.85714285714286","133","968.2857142857143"
"2018-11-15T00:00:00.000Z","8.714285714285714","35","372.57142857142856","2605.1428571428573","7258.857142857143","8784","2317.5714285714284","664.4285714285714","552.7142857142857","177.85714285714286","134.57142857142858","977.5714285714286"
"2018-11-22T00:00:00.000Z","8.857142857142858","34.142857142857146","375.7142857142857","2604.5714285714284","7280.285714285715","8811.714285714286","2335.285714285714","672.8571428571429","560.1428571428571","178.28571428571428","136","989.8571428571429"
"2018-11-29T00:00:00.000Z","9","33.714285714285715","379.14285714285717","2632.5714285714284","7313.428571428572","8867.142857142857","2366.714285714286","680.7142857142857","565.5714285714286","178","137.28571428571428","994"
"2018-12-06T00:00:00.000Z","9","35.142857142857146","372.85714285714283","2631.8571428571427","7305.571428571428","8905.57142857143","2382.4285714285716","693.5714285714286","572.4285714285714","177.85714285714286","138.85714285714286","997.7142857142857"
"2018-12-13T00:00:00.000Z","9","35.42857142857143","373.57142857142856","2645","7320.714285714285","8926","2402.285714285714","704.4285714285714","577.5714285714286","177.71428571428572","140.14285714285714","1008.4285714285714"
"2018-12-20T00:00:00.000Z","9","33.285714285714285","373.7142857142857","2595.4285714285716","7202.571428571428","8966.857142857143","2430","709.1428571428571","574.2857142857143","177.85714285714286","142","1014.4285714285714"
"2018-12-27T00:00:00.000Z","9","32.57142857142857","372.42857142857144","2593.4285714285716","7205.285714285715","9017.714285714286","2461.5714285714284","721.4285714285714","576.1428571428571","180.85714285714286","142","1020.2857142857143"
"2019-01-03T00:00:00.000Z","9","31.285714285714285","371.7142857142857","2583.8571428571427","7261","9124.42857142857","2494.714285714286","734.8571428571429","581.8571428571429","183.57142857142858","143.57142857142858","1025.2857142857142"
"2019-01-10T00:00:00.000Z","8.142857142857142","31.285714285714285","376.2857142857143","2598","7299.571428571428","9242.42857142857","2537.1428571428573","744.7142857142857","594.5714285714286","187.42857142857142","144","1031.2857142857142"
"2019-01-17T00:00:00.000Z","8.142857142857142","31.285714285714285","380","2605.4285714285716","7304.571428571428","9356.42857142857","2584","753.7142857142857","605.2857142857143","187.57142857142858","144.85714285714286","1044.857142857143"
"2019-01-24T00:00:00.000Z","8.714285714285714","29.285714285714285","382.85714285714283","2598.714285714286","7344.571428571428","9424","2612.5714285714284","767.7142857142857","614.1428571428571","190.14285714285714","149.71428571428572","1055.7142857142858"
"2019-01-31T00:00:00.000Z","9","29","382.57142857142856","2603","7404.285714285715","9461.714285714286","2641.1428571428573","773.8571428571429","615.8571428571429","190.71428571428572","152.14285714285714","1069.857142857143"
"2019-02-07T00:00:00.000Z","8","30.285714285714285","382.14285714285717","2618.1428571428573","7440.142857142857","9505.42857142857","2677.714285714286","782.8571428571429","628.2857142857143","194","154.71428571428572","1082.857142857143"
"2019-02-14T00:00:00.000Z","8","29.857142857142858","382.14285714285717","2634.1428571428573","7480.714285714285","9565.285714285714","2714.4285714285716","795.8571428571429","633","196.42857142857142","157.14285714285714","1089.4285714285713"
"2019-02-21T00:00:00.000Z","8","29.571428571428573","383.7142857142857","2644.4285714285716","7518.142857142857","9638.57142857143","2749.5714285714284","807.7142857142857","640.8571428571429","198.42857142857142","159.57142857142858","1100.2857142857142"
"2019-02-28T00:00:00.000Z","8","29.714285714285715","381.7142857142857","2662.8571428571427","7547.714285714285","9690.57142857143","2765.8571428571427","810.8571428571429","648.7142857142857","199.42857142857142","159.57142857142858","1110.7142857142858"
"2019-03-07T00:00:00.000Z","8.142857142857142","30.571428571428573","385.85714285714283","2669.8571428571427","7591.285714285715","9753.42857142857","2795.8571428571427","830","653.2857142857143","203.85714285714286","161.28571428571428","1131.7142857142858"
"2019-03-14T00:00:00.000Z","9","28.142857142857142","390.42857142857144","2684.4285714285716","7641.142857142857","9799.42857142857","2822.714285714286","844.7142857142857","657.1428571428571","208.57142857142858","164","1152.5714285714287"
"2019-03-21T00:00:00.000Z","8.142857142857142","29.857142857142858","389.85714285714283","2693.285714285714","7671.571428571428","9850.142857142857","2841.8571428571427","854","663.8571428571429","210.57142857142858","166","1161.857142857143"
"2019-03-28T00:00:00.000Z","9","28.714285714285715","385.2857142857143","2700.714285714286","7704.714285714285","9923.42857142857","2879.4285714285716","867.5714285714286","666.7142857142857","211.28571428571428","167.71428571428572","1174.2857142857142"
